"","XX_rep2","XX_rep4","XX_rep6","XX_rep8","XX_rep9","XX_rep10","Xm_rep1","Xm_rep2","Xm_rep4","Xm_rep11","Xm_rep12","Xm_rep14","Xp_rep2","Xp_rep4","Xp_rep5","Xp_rep6","Xp_rep7","Xp_rep10"
"216705_s_at",8.5194569982278,8.74506847069098,8.21992307957937,8.41509790481276,8.70277664749886,7.97538181314126,8.81572384252876,8.03780143714367,7.7544754127615,8.2145126623207,8.37366841156711,8.43287804218489,7.3644882510487,8.68081887131836,8.67229682970266,8.07205579958946,7.62829070393597,8.69067555863761
"242876_at",6.26966797706847,7.12697419345363,6.06785906975828,7.08817553693836,6.964932869921,7.50251123311926,7.11397732498824,7.62540764475272,6.51634161757261,5.78875629932959,7.54311460559868,7.59882489710603,7.29284050952239,6.47452177175527,7.38801581812872,7.73096250669921,7.6350136342731,5.87697426628713
"207078_at",5.5734035974587,6.57691120350939,5.23407021788265,6.75997141007773,6.1805595114694,7.36087587589286,7.31180094013618,7.40236232872483,6.86217769579518,5.17225647767475,6.81530799723101,6.82159937149088,6.75771153660422,6.41113147856447,6.78895456288296,7.00966190140205,7.3832136934172,5.70146657366204
"207895_at",6.30503476868228,6.27181814212445,6.17415218213422,6.29872151743677,6.32199928806825,5.82805419549238,6.22209634372491,5.57192699798608,6.04092920269647,6.57908506449962,6.49049423085155,6.64618877224873,5.71946287326535,6.63649404687891,6.65846794824853,6.8011519368955,5.90116659574764,7.0322389024549
"209027_s_at",10.321139709093,10.2867618453706,10.4644008994995,10.0537558607471,10.1937543502073,9.20677556705116,10.048780484144,9.90010302422577,8.79646165567883,9.79528273934857,9.98458575173396,9.85414332963598,9.09538995121442,9.98906286970402,10.0300778413734,10.0626872896335,9.24274170609795,9.78869726270577
"222922_at",8.19619585554872,7.2400954922919,7.64559672917566,7.2221309314938,7.05005780579421,5.58092520055647,5.36567979442284,5.12888464368723,6.26014900328845,8.39733058971339,7.20709688024962,6.84138654197925,5.54598632249463,7.96262241299989,7.69579714940052,6.8188347257052,5.08266259158015,6.54343728916487
"210458_s_at",6.73266201756979,6.65278886586836,6.42371639990775,6.3348434359608,6.59870641028082,5.31900702464387,5.88037204506939,5.25728524356107,4.36575173771403,6.1322152347171,5.80492071803739,5.52045735830829,4.3523255683068,6.34592340478618,6.11737685335787,6.48268769241866,4.68245019263317,5.68290410019123
"235798_at",9.19453059027244,9.74112479647231,9.63310331568166,10.1201894996064,9.5655572658866,10.2567194872023,7.31812582176277,7.64881059673524,8.7539632751793,8.93632254722173,8.70658288659803,8.33646833561264,8.54462490893659,8.69878210141525,8.76676468840246,9.09958284397399,8.76091027200965,8.18879252827261
"244741_s_at",5.41379572403916,6.89033002117215,6.24988053261232,5.93417540276315,5.00783950893044,5.7019372766938,5.7169359283295,6.74883308934366,4.78135582193418,6.04348780586733,6.09653948876416,4.57976839489538,5.60533191275042,6.17472442338079,6.18513974339555,5.24075545437196,6.09118485903343,7.06090360995008
"227893_at",7.21440052363204,7.08797558749596,6.45086114554764,6.97844263414476,6.39279986558545,7.4267170993899,6.33169833914359,7.93218407508658,6.02235845993447,7.39257812994153,6.56165250921902,6.88919598561808,6.45131368072218,6.58785139634508,6.6135318886586,6.38968013269957,7.30669651190014,6.70515776272248
"235172_at",6.58779631508942,6.65612367309374,6.0943319200939,4.23093746462139,6.42469335862026,7.73632853872644,6.10882789881687,6.57417604341309,7.44282075010763,4.4687754117542,5.14842357089597,3.9960991219773,8.18161785334452,5.28432593745186,4.90757691812447,6.86858589059235,6.77756456194578,4.93717295939815
"242208_at",5.70638188245786,6.21083844385883,5.46108545284044,6.66720484273247,6.60001357640184,7.00114730940699,8.28028202687679,8.20737931217106,7.81212232867966,5.82330521097491,6.03635426562863,6.53031427224411,7.78061677877887,6.38195706669574,6.02745783131498,5.8452959254171,7.11856384492391,5.34134432557364
"217295_at",6.01007305046387,5.51088234647575,5.84284680122663,6.35223827382849,6.50352501833014,6.80645884308095,7.05974996093043,6.87794706751705,6.35282601170718,5.96412470350827,5.73300865962617,5.8705328104248,6.35086071246153,5.46460098487571,5.65826548651767,6.26865349674801,5.96407393176195,5.70541336826547
"237475_x_at",9.87299946352308,9.72581298699503,9.60160791350835,9.91480168846345,10.4861932630439,10.7760390396161,10.8738342705937,10.8968768503148,11.3565826740959,8.63019709113479,9.88417766059037,9.96877884295914,11.2676742710174,9.20846531390447,9.88795725433707,10.1862691330611,10.3353815064265,8.70431466275639
"1569952_x_at",4.75705586196065,4.76118045343006,5.170153546509,5.06631764636704,5.170153546509,3.79237207868517,3.55816215174424,4.29051173257057,4.0532157674712,4.55764940600155,4.53008838646076,4.29785093802105,4.34041431830252,4.92516698231836,4.53815304458828,4.60280872214515,3.65589016557167,4.32303796258022
"238214_at",5.55526432817101,5.65193447861408,5.57122033664281,5.64679526390109,6.45260234851783,7.08727655774078,6.97102826658393,7.09686699181188,6.85822152107845,5.63349738765539,6.47095697063327,6.34775626326575,6.39432221084163,5.83042147936347,6.34775626326575,6.43350676571742,6.99049891739693,5.4164662878313
"236228_at",4.77496471700124,4.67222198929962,4.24725708491478,4.60943429834967,5.02164341937281,5.29659548644815,5.04933660869863,4.91143085858953,4.59038326169143,5.45030904516314,5.59316946604932,5.35069006355291,5.31498537457355,5.49556898311162,5.66639745669011,5.49811490282439,5.56719361949378,5.33141135053334
"1569496_s_at",6.5706935132396,6.91728993195617,6.8216060491608,7.29452988394617,7.41208695937407,7.32074682502734,8.57963025230964,7.75974973693786,8.09758020114248,6.66002318326192,7.32316288790447,6.81704162370998,7.93140657763408,6.90583718090442,7.28904613049494,8.0501404944689,7.67919090670571,7.64683396769283
"227170_at",6.83514808307449,6.96682322770367,6.77171993997983,6.88076537019961,7.08624535710266,7.6272799726101,7.75637165120273,7.28591566646979,8.00199995756416,7.17890357323702,7.34288155750685,7.20151096140622,7.85126097590879,6.85237612480777,7.12144480109219,7.21613859868666,7.75810225365734,7.27759667103431
"227074_at",9.29198231041367,9.4128457096486,9.46617231387305,9.9140434546875,10.3387268413777,10.4408299232491,10.1957317096804,10.9504446229053,10.2340425429997,9.53520471360938,10.5470252258548,10.6550937431507,10.8416719242512,9.91357059071812,10.5712819016567,10.2970791429967,11.0715208535181,9.88360792013954
"1552327_at",4.43516619004412,4.78034981986798,4.34319922301589,4.83447405589876,4.50053736297322,5.78057814013694,5.13016372770379,5.96302609259431,4.6782027514999,4.87167336491488,4.98802682962098,5.53793499046921,4.90653939163783,5.47032725116128,5.38904381127044,5.67652199291475,5.4534351798915,5.59262800769905
"226006_at",8.87341622002406,9.60027424558006,9.24540121562149,9.29749989708117,9.14939136842995,9.36152368747823,7.82899157115675,7.52203850742563,9.30582406487592,8.96033694826346,8.48105389480681,8.20412639511746,8.81863760892049,8.42090017618727,8.33862482861294,8.38786076739112,8.87364244056075,8.61114183141321
"211532_x_at",6.30514116734421,5.48901790231853,5.02044128256365,5.87628615480659,7.02650366889025,5.17303512474771,6.1073210822806,7.09399338386828,6.71159536112096,6.22740124215994,6.70654539016406,5.77462274093508,6.02578549738406,6.21240424023573,6.65145906233783,6.54679122874028,5.8549146666307,8.046494391664
"238910_at",5.59750273439545,5.41301151479431,5.07596035869825,5.17932816984965,5.06890179104423,5.90116659574764,6.0436660848714,6.08043079078642,5.12125205751174,5.62367298244093,6.06153215717163,5.88284506680103,6.03047445126328,5.79755438490756,5.73293430410727,5.60532203554209,6.43401602683185,6.45549120338607
"232140_at",7.24295665751748,8.01975545276857,7.54059985583496,7.75241627103098,8.43615790928577,8.59424605927778,8.20221198994599,8.54471900283089,7.45011099293819,7.41723188064027,7.91384280289568,7.95758268794279,7.55189179628282,7.53433473088918,7.91274500588338,7.34545248126187,8.09880583977514,7.60335675336997
"1558527_at",4.61065831207588,4.93945270670491,5.18393750612618,5.32070199818192,5.09163322646313,6.32096294065087,6.19471608355169,6.35188311723004,5.37038495150527,4.70181369650088,4.46781907818658,4.6504383070658,5.61345694209525,4.61851111901403,4.51155265452531,4.92217021218292,4.9473050366833,4.09683575358663
"232586_x_at",6.30768633155261,6.21083844385883,5.81062110181713,6.45077096964923,6.94276301864465,7.46621624632207,8.00378460346401,8.56954088652553,7.32950685861687,6.36043819150774,7.18608249158682,7.32895308747096,7.73222060036014,6.4486694869255,6.93784941749189,7.36891665388299,7.89358665059753,6.27642445964011
"208650_s_at",4.47218915867931,6.63119376336137,6.07833618969913,6.31588871209728,6.31309618411379,4.94175958459746,5.02319803960003,6.67754193904294,5.24912135909084,6.45345391939036,5.44095855725976,5.76992020944937,6.09208272098202,6.49721946270976,6.04605628999835,5.80124111065651,6.19092150715395,6.31840749989764
